,zipcode,routing_file,label
190,85028,Y17--43-M13--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10043170-1.pdf
191,85029,Y17--6-M14-V-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061303-1.pdf
192,85030,Y17-40-PX--x17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061304-1.pdf
193,85031,Y17--6-n30-L-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011476-1.pdf
194,85032,Y17--40-N29--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046515-1.pdf
195,85033,Y17--40-N27--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10015167-1.pdf
196,85034,Y17--40-N29--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046516-1.pdf
197,85035,Y17--6-M21-S-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10062076-1.pdf
198,85036,Y17--6-M21-S-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061305-1.pdf
199,85037,Y17--6-M11-S-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061306-1.pdf
200,85038,Y17--6-M21-S-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10063052-1.pdf
201,85039,Y17--40-M08--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10040224-1.pdf
202,85040,Y17-40-PX--x17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061307-1.pdf
203,85042,Y17--6-M24-L-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061308-1.pdf
204,85043,Y17--40-N27--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061309-1.pdf
205,85044,Y17--6-N30-L-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061310-1.pdf
206,85046,Y17--6-M17-T-17a-A5,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10040225-1.pdf
207,85047,Y17--40-M08--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10014399-1.pdf
208,85048,Y17--40-N26--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10011477-1.pdf
209,85049,Y17--6-M17-T-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046517-1.pdf
210,85050,Y17-41-PX--x17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061311-1.pdf
211,85051,Y17--6-M15-C-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061312-1.pdf
212,85052,Y17--41-M19--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061313-1.pdf
213,85053,Y17--40-M06--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10065061-1.pdf
214,85054,Y17--6-M15-C-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061314-1.pdf
215,85055,Y17--6-M22-P-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10046518-1.pdf
216,85056,Y17--22-M05--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061315-1.pdf
217,85057,Y17--6-M06-V-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10029219-1.pdf
218,85058,Y17--22-M05--17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10061316-1.pdf
219,85059,Y17--6-M06-V-17a-A26,http://10.39.232.133:9099/pdf/SI/2021-07-19/5P37C10039092-1.pdf
